Unique ID,Authors,Authors-revised,Authors (Full Names),Authors (Full Names)-revised
WOS:000431414200005,"Boehm, SL|Kasten, CR|Mackie, K|Zhang, YP","Boehm, SL|Kasten, CR|Mackie, K|Zhang, YP","Boehm, Stephen L., II|Kasten, Chelsea R.|Mackie, Ken|Zhang, Yanping","Boehm, Stephen L., II|Kasten, Chelsea R.|Mackie, Ken|Zhang, Yanping"
WOS:000429547700001,"Brucker, K|Duwve, JM|Huynh, P|Ray, B|Robison, L|Sightes, E|Walker, L|Watson, DP","Brucker, K|Duwve, JM|Huynh, P|Ray, B|Robison, L|Sightes, E|Walker, L|Watson, DP","Brucker, Krista|Duwve, Joan M.|Huynh, Philip|Ray, Bradley|Robison, Lisa|Sightes, Emily|Walker, La Shea|Watson, Dennis P.","Brucker, Krista|Duwve, Joan M.|Huynh, Philip|Ray, Bradley|Robison, Lisa|Sightes, Emily|Walker, La Shea|Watson, Dennis P."
WOS:000444625400007,"Brooks, JT|Broz, D|Chapman, EL|Combs, B|Duwve, JM|Foote, C|Fry, A|Hall, P|Patel, MR|Roseberry, JC","Brooks, JT|Broz, D|Chapman, EL|Combs, B|Duwve, JM|Foote, C|Fry, A|Hall, P|Patel, MR|Roseberry, JC","Brooks, John T.|Broz, Dita|Chapman, Erika L.|Combs, Brittany|Duwve, Joan M.|Foote, Carrie|Fry, Alexandra|Hall, Patti|Patel, Monita R.|Roseberry, Jeremy C.","Brooks, John T.|Broz, Dita|Chapman, Erika L.|Combs, Brittany|Duwve, Joan M.|Foote, Carrie|Fry, Alexandra|Hall, Patti|Patel, Monita R.|Roseberry, Jeremy C."
WOS:000442641404071,"Litzelman, DK|Takesue, B|Tierney, WM","Litzelman, DK|Takesue, B|Tierney, WM","Litzelman, Debra K.|Takesue, Blaine|Tierney, William M.","Litzelman, Debra K.|Takesue, Blaine|Tierney, William M."
WOS:000430468400208,"Frank, KI|Fulton, J|Garrison, E|Hoffman, L|Larimer, S|Litzelman, DK|Mueller, M|Ortwein, C|Pfeifle, AL|Westmoreland, GR","Frank, KI|Fulton, J|Garrison, E|Hoffman, L|Larimer, S|Litzelman, DK|Mueller, M|Ortwein, C|Pfeifle, AL|Westmoreland, GR","Frank, Kathryn I.|Fulton, J.|Garrison, E.|Hoffman, L.|Larimer, S.|Litzelman, Debra K.|Mueller, M.|Ortwein, C.|Pfeifle, Andrea L.|Westmoreland, Glenda R.","Frank, Kathryn I.|Fulton, J.|Garrison, E.|Hoffman, L.|Larimer, S.|Litzelman, Debra K.|Mueller, M.|Ortwein, C.|Pfeifle, Andrea L.|Westmoreland, Glenda R."
WOS:000429978200007,"Johantgen, M|Liu, W|Newhouse, RP","Johantgen, M|Liu, W|Newhouse, RP","Johantgen, Meg|Liu, Wen|Newhouse, Robin P.","Johantgen, Meg|Liu, Wen|Newhouse, Robin P."
WOS:000428457900007,"Aalsma, MC|Lau, KSL|Rosenman, MB|Tu, WZ|Wiehe, SE","Aalsma, MC|Lau, KSL|Rosenman, MB|Tu, WZ|Wiehe, SE","Aalsma, Matthew C.|Lau, Katherine S. L.|Rosenman, Marc B.|Tu, Wanzhu|Wiehe, Sarah E.","Aalsma, Matthew C.|Lau, Katherine S. L.|Rosenman, Marc B.|Tu, Wanzhu|Wiehe, Sarah E."
WOS:000427712400012,"Aalsma, MC|Banks, DE|Lau, KSL|Zapolski, TCB","Aalsma, MC|Banks, DE|Lau, KSL|Zapolski, TCB","Aalsma, Matthew C.|Banks, Devin E.|Lau, Katherine S. L.|Zapolski, Tamika C. B.","Aalsma, Matthew C.|Banks, Devin E.|Lau, Katherine S. L.|Zapolski, Tamika C. B."
WOS:000426934800016,"Dixit, A|McHenry, MS|Miner, EM|Wiehe, SE","Dixit, A|McHenry, MS|Miner, EM|Wiehe, SE","Dixit, Avika|McHenry, Megan S.|Miner, Emily M.|Wiehe, Sarah E.","Dixit, Avika|McHenry, Megan S.|Miner, Emily M.|Wiehe, Sarah E."
WOS:000428652000070,"Johantgen, M|Newhouse, RP","Johantgen, M|Newhouse, RP","Johantgen, Meg|Newhouse, Robin P.","Johantgen, Meg|Newhouse, Robin P."
