id,fullname,fullname-revised,name,name-revised
WOS:000230047100005,"Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, SE","Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, Sarah E.","Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, SE","Christakis, DA|Ebel, BE|Garrison, MM|Rivara, FP|Wiehe, SE"
WOS:000232207801059,"Becker, E|Booros, J|Corbo, AM|Cuthbertson, D|Dion, J|Embi, PJ|Krischer, JP|Kullman, JA|Merkel, PA|Schauble, JE|Young, K","Becker, E|Booros, J|Corbo, AM|Cuthbertson, D|Dion, J|Embi, Peter J.|Krischer, JP|Kullman, JA|Merkel, PA|Schauble, JE|Young, K","Becker, E|Booros, J|Corbo, AM|Cuthbertson, D|Dion, J|Embi, PJ|Krischer, JP|Kullman, JA|Merkel, PA|Schauble, JE|Young, K","Becker, E|Booros, J|Corbo, AM|Cuthbertson, D|Dion, J 2|Embi, PJ|Krischer, JP|Kullman, JA|Merkel, PA|Schauble, JE|Young, K"
WOS:000232759500017,"Bizjack, S|Clark, J|Embi, PJ|Harris, CM|Hornung, R|Jain, A","Bizjack, S|Clark, J|Embi, Peter J.|Harris, C. Martin|Hornung, RW|Jain, Anil","Bizjack, S|Clark, J|Embi, PJ|Harris, CM|Hornung, R|Jain, A","Bizjack, S|Clark, J|Embi, PJ|Harris, CM|Hornung, RW|Jain, A"
WOS:000233760700010,"D'Onofrio, BM|Emery, RE|Heath, AC|Madden, PA|Martin, NG|Slutske, WS|Turkheimer, E","D'Onofrio, Brian M.|Emery, Robert E.|Heath, Andrew C.|Madden, Pamela A. F.|Martin, Nicholas G.|Slutske, Wendy S.|Turkheimer, Eric","D'Onofrio, BM|Emery, RE|Heath, AC|Madden, PA|Martin, NG|Slutske, WS|Turkheimer, E","D'Onofrio, BM|Emery, RE|Heath, AC|Madden, PAF|Martin, NG|Slutske, WS|Turkheimer, E"
WOS:000234963600004,"Aalsma, MC|Cox, AD|Cox, DS|Fortenberry, JD|Katzenstein, JM|Zimet, GD","Aalsma, Matthew C.|Cox, AD|Cox, DS|Fortenberry, J. Dennis|Katzenstein, JM|Zimet, Gregory D.","Aalsma, MC|Cox, AD|Cox, DS|Fortenberry, JD|Katzenstein, JM|Zimet, GD","Aalsma, MC|Cox, AD|Cox, DS|Fortenberry, JD|Katzenstein, JM|Zimet, GD"
WOS:000234963600066,"Aalsma, MC|Bernstein, DI|Cunningham, NC|Rosenthal, SM|Zimet, GD","Aalsma, Matthew C.|Bernstein, DI|Cunningham, NC|Rosenthal, SM|Zimet, Gregory D.","Aalsma, MC|Bernstein, DI|Cunningham, NC|Rosenthal, SM|Zimet, GD","Aalsma, MC|Bernstein, DI|Cunningham, NC|Rosenthal, SM|Zimet, GD"
WOS:000234963600098,"Cavins, JW|Fortenberry, D|Wiehe, SE","Cavins, JW|Fortenberry, D|Wiehe, Sarah E.","Cavins, JW|Fortenberry, D|Wiehe, SE","Cavins, JW|Fortenberry, D|Wiehe, SE"
WOS:000235342500004,"Aalsma, MC|Lapsley, DK","Aalsma, Matthew C.|Lapsley, DK","Aalsma, MC|Lapsley, DK","Aalsma, MC|Lapsley, DK"
WOS:000235798200013,"Bennett, SJ|Litzelman, DK|Meyer, L|Perkins, SM|Vaughn, M|Wright, A|Wu, JW","Bennett, SJ|Litzelman, Debra K.|Meyer, L|Perkins, Susan M.|Vaughn, M|Wright, Adam|Wu, Jingwei","Bennett, SJ|Litzelman, DK|Meyer, L|Perkins, SM|Vaughn, M|Wright, A|Wu, JW","Bennett, SJ|Litzelman, DK|Meyer, L|Perkins, SM|Vaughn, M|Wright, A|Wu, JW"
WOS:000235817200003,"Aalsma, MC|Fortenberry, JD|Orr, DP|Sayegh, MA","Aalsma, Matthew C.|Fortenberry, J. Dennis|Orr, Donald P.|Sayegh, M. Aaron","Aalsma, MC|Fortenberry, JD|Orr, DP|Sayegh, MA","Aalsma, MC|Fortenberry, JD|Orr, DP|Sayegh, MA"
WOS:000236698300008,"Aalsma, MC|Flannery, DJ|Lapsley, DK","Aalsma, Matthew C.|Flannery, DJ|Lapsley, DK","Aalsma, MC|Flannery, DJ|Lapsley, DK","Aalsma, MC|Flannery, DJ|Lapsley, DK"
WOS:000237069300101,"Counsell, S|Frank, K|Frankel, R|Inui, T|Litzelman, D|Westmoreland, GR","Counsell, Steven R.|Frank, Kathryn I.|Frankel, Richard M.|Inui, Thomas S.|Litzelman, Debra K.|Westmoreland, Glenda R.","Counsell, S|Frank, K|Frankel, R|Inui, T|Litzelman, D|Westmoreland, GR","Counsell, SR|Frank, KI|Frankel, RM|Inui, TS|Litzelman, DK|Westmoreland, GR"
WOS:000237069300106,"Bogdewic, S|Counsell, S|Frank, K|Frankel, R|Inui, T|Litzelman, D|Westmoreland, GR","Bogdewic, Stephen P.|Counsell, Steven R.|Frank, Kathryn I.|Frankel, Richard M.|Inui, Thomas S.|Litzelman, Debra K.|Westmoreland, Glenda R.","Bogdewic, S|Counsell, S|Frank, K|Frankel, R|Inui, T|Litzelman, D|Westmoreland, GR","Bogdewic, SP|Counsell, SR|Frank, KI|Frankel, RM|Inui, TS|Litzelman, DK|Westmoreland, GR"
WOS:000238176300010,"D'Onofrio, Brian M.|Emery, Robert E.|Heath, Andrew C.|Madden, Pamela A.|Martin, Nicholas G.|Slutske, Wendy S.|Turkheimer, Eric","D'Onofrio, Brian M.|Emery, Robert E.|Heath, Andrew C.|Madden, Pamela A. F.|Martin, Nicholas G.|Slutske, Wendy S.|Turkheimer, Eric","D'Onofrio, BM|Emery, RE|Heath, AC|Madden, PA|Martin, NG|Slutske, WS|Turkheimer, E","D'Onofrio, BM|Emery, RE|Heath, AC|Madden, PAF|Martin, NG|Slutske, WS|Turkheimer, E"
WOS:000240624600004,"Seibt, Gustav","Seibt, Gustav","Seibt, G","Seibt, G"
WOS:000241128600028,"D'Onofrio, Brian M.|Emery, Robert E.|Harden, K. Paige|Heath, Andrew C.|Madden, Pamela A. F.|Martin, Nicholas G.|Slutske, Wendy S.|Turkheimer, Eric","D'Onofrio, Brian M.|Emery, Robert E.|Harden, K. Paige|Heath, Andrew C.|Madden, Pamela A. F.|Martin, Nicholas G.|Slutske, Wendy S.|Turkheimer, Eric","D'Onofrio, BM|Emery, RE|Harden, KP|Heath, AC|Madden, PAF|Martin, NG|Slutske, WS|Turkheimer, E","D'Onofrio, BM|Emery, RE|Harden, KP|Heath, AC|Madden, PAF|Martin, NG|Slutske, WS|Turkheimer, E"
WOS:000241895100008,"Acharya, Prasad|Embi, Peter J.|Haag, Doris|Kishman, Charles P.|Marine, Stephen|McCuistion, Mark","Acharya, Prasad|Embi, Peter J.|Haag, Doris|Kishman, Charles P.|Marine, Stephen|McCuistion, Mark","Acharya, P|Embi, PJ|Haag, D|Kishman, CP|Marine, S|McCuistion, M","Acharya, P|Embi, PJ|Haag, D|Kishman, CP|Marine, S|McCuistion, M"
